Наименование дисциплины,Аннотация РПД,Учебная карта дисциплины,Рабочая программа дисциплины
CS242. Algorithms and Data Structures (Алгоритмы и структуры данных),Аннотация РПД,УКД,РПД
CS251. Database Technology (Технологии баз данных),Аннотация РПД,УКД,РПД
CS253. Intelligent Systems (Интеллектуальные системы),Аннотация РПД,УКД,РПД
CS261. Software Engineering (Программная инженерия),Аннотация РПД,УКД,РПД
CS291. Probability Theory and Mathematical Statistics (Теория вероятностей и математическая статистика),Аннотация РПД,УКД,РПД
CS292. Computational Mathematics (Вычислительная математика),Аннотация РПД,УКД,РПД
CS302. Non-classical Logic (Неклассические логики),Аннотация РПД,УКД,РПД
CS311. Compiler Development (Разработка компиляторов),Аннотация РПД,УКД,РПД
CS321. Parallel and Multithreaded Programming (Параллельное и многопоточное программирование),Аннотация РПД,УКД,РПД
CS332. Computer Graphics (Компьютерная графика),Аннотация РПД,УКД,РПД
CS341. Algorithms on Graphs (Алгоритмы на графах),Аннотация РПД,УКД,РПД
CS351. Introduction to Machine Learning and Neural Networks (Введение в машинное обучение и нейронные сети),Аннотация РПД,УКД,РПД
CS371. Coding Theory (Теория кодирования),Аннотация РПД,УКД,РПД
CS372. Digital Signal Processing (Цифровая обработка сигналов),Аннотация РПД,УКД,РПД
CS373. Basics of Secure Software Development (Основы безопасной разработки ПО),Аннотация РПД,УКД,РПД
CS374. Protection of Information in Networks (Защита информации в сети),Аннотация РПД,УКД,РПД
Disciplines in Physical Culture and Sports (Дисциплины по физической культуре и спорту),Аннотация РПД,УКД,РПД
Economics and Law (Экономика и право),Аннотация РПД,УКД,РПД
Foreign Language for Business Communication (Russian) (Иностранный язык для деловой коммуникации (русский)),Аннотация РПД,УКД,РПД
Foreign language (Иностранный язык),Аннотация РПД,УКД,РПД
"History (History of Russia, Universal history) (История (история России, всеобщая история))",Аннотация РПД,УКД,РПД
Introduction to the project activity (Введение в проектную деятельность),Аннотация РПД,УКД,РПД
Life safety (Безопасность жизнедеятельности),Аннотация РПД,УКД,РПД
Mobile Development (Разработка мобильных приложений),Аннотация РПД,УКД,РПД
Philosophy (Философия),Аннотация РПД,УКД,РПД
Physical culture and sport (Физическая культура и спорт),Аннотация РПД,УКД,РПД
Project-1 (Проект (1 курс)),Аннотация РПД,УКД,РПД
Project-2 (Проект (2 курс)),Аннотация РПД,УКД,РПД
Project-3 (Проект (3 курс)),Аннотация РПД,УКД,РПД
CS101. Основы программирования,Аннотация РПД,УКД,РПД
CS102. Дискретная математика,Аннотация РПД,УКД,РПД
CS103. Алгебра и геометрия,Аннотация РПД,УКД,РПД
CS104. Непрерывная математика,Аннотация РПД,УКД,РПД
CS201. Математическая логика,Аннотация РПД,УКД,РПД
CS202. Теория автоматов и формальных языков,Аннотация РПД,УКД,РПД
CS203. Теория алгоритмов,Аннотация РПД,УКД,РПД
CS207. Математические основы защиты информации,Аннотация РПД,УКД,РПД
CS211. Языки программирования,Аннотация РПД,УКД,РПД
CS212. Парадигмы и технологии программирования,Аннотация РПД,УКД,РПД
CS221. Архитектура компьютера и операционные системы,Аннотация РПД,УКД,РПД
CS222. Компьютерные сети,Аннотация РПД,УКД,РПД
CS242. Алгоритмы и структуры данных,Аннотация РПД,УКД,РПД
CS251. Технологии баз данных,Аннотация РПД,УКД,РПД
CS253. Интеллектуальные системы,Аннотация РПД,УКД,РПД
CS261. Программная инженерия,Аннотация РПД,УКД,РПД
CS291. Теория вероятностей и математическая статистика,Аннотация РПД,УКД,РПД
CS292. Вычислительная математика,Аннотация РПД,УКД,РПД
CS302. Неклассические логики,Аннотация РПД,УКД,РПД
CS311. Разработка компиляторов,Аннотация РПД,УКД,РПД
CS321. Parallel and Multithreaded Programming (Параллельное и многопоточное программирование),Аннотация РПД,УКД,РПД
CS332. Компьютерная графика,Аннотация РПД,УКД,РПД
CS341. Алгоритмы на графах,Аннотация РПД,УКД,РПД
CS351. Введение в машинное обучение и нейронные сети,Аннотация РПД,УКД,РПД
CS371. Теория кодирования,Аннотация РПД,УКД,РПД
CS372. Цифровая обработка сигналов,Аннотация РПД,УКД,РПД
CS373. Основы безопасной разработки ПО,Аннотация РПД,УКД,РПД
CS374. Защита информации в сети,Аннотация РПД,УКД,РПД
CS375. Data Mining - методы анализа и обработки данных,Аннотация РПД,УКД,РПД
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД
Введение в проектную деятельность,Аннотация РПД,УКД,РПД
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД
Иностранный язык,Аннотация РПД,УКД,РПД
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД
Компьютерная графика,Аннотация РПД,УКД,РПД
Программирование на языке Python,Аннотация РПД,УКД,РПД
Проект (1 курс),Аннотация РПД,УКД,РПД
Проект (2 курс),Аннотация РПД,УКД,РПД
Проект (3 курс),Аннотация РПД,УКД,РПД
Разработка мобильных приложений,Аннотация РПД,УКД,РПД
Физическая культура и спорт,Аннотация РПД,УКД,РПД
Философия,Аннотация РПД,УКД,РПД
Экономика и право,Аннотация РПД,УКД,РПД
1C: ERP,Аннотация РПД,УКД,РПД
Algorithmization and Programming (Алгоритмизация и программирование),Аннотация РПД,УКД,РПД
Databases and DBMS (Базы данных и СУБД),Аннотация РПД,УКД,РПД
Discrete Mathematics (Дискретная математика),Аннотация РПД,УКД,РПД
Information Technology Security (Безопасность информационных технологий),Аннотация РПД,УКД,РПД
Mathematics (Математика),Аннотация РПД,УКД,РПД
Operating systems (Операционные системы),Аннотация РПД,УКД,РПД
Администрирование и безопасность компьютерных сетей,Аннотация РПД,УКД,РПД
Администрирование информационных систем,Аннотация РПД,УКД,РПД
Администрирование операционных систем,Аннотация РПД,УКД,РПД
Академический курс иностранного языка,Аннотация РПД,УКД,РПД
Алгоритмизация и программирование,Аннотация РПД,УКД,РПД
"Архитектура, технологии и инструментальные средства разработки программного обеспечения",Аннотация РПД,УКД,РПД
Базы данных и СУБД,Аннотация РПД,УКД,РПД
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД
Безопасность информационных технологий,Аннотация РПД,УКД,РПД
Введение в инженерную деятельность,Аннотация РПД,УКД,РПД
Дискретная математика,Аннотация РПД,УКД,РПД
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД
Иностранный язык,Аннотация РПД,УКД,РПД
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД
Интеллектуальные интернет-технологии,Аннотация РПД,УКД,РПД
История,Аннотация РПД,УКД,РПД
Компьютерная графика,Аннотация РПД,УКД,РПД
Компьютерное моделирование,Аннотация РПД,УКД,РПД
Концепции современного естествознания,Аннотация РПД,УКД,РПД
Маркетинг,Аннотация РПД,УКД,РПД
Математика,Аннотация РПД,УКД,РПД
Математические методы распознавания изображений,Аннотация РПД,УКД,РПД
Методы искусственного интеллекта,Аннотация РПД,УКД,РПД
Методы оптимизации,Аннотация РПД,УКД,РПД
Модели и методы инженерии знаний,Аннотация РПД,УКД,РПД
Объектно-ориентированное программирование,Аннотация РПД,УКД,РПД
Операционные системы,Аннотация РПД,УКД,РПД
Оптимальное управление системами с распределенными параметрами,Аннотация РПД,УКД,РПД
Основы построения интеллектуальных геоинформационных систем,Аннотация РПД,УКД,РПД
Основы проектной деятельности,Аннотация РПД,УКД,РПД
Практикум по математике,Аннотация РПД,УКД,РПД
Практикум по основам программирования,Аннотация РПД,УКД,РПД
Практикум по подготовке инженерной документации,Аннотация РПД,УКД,РПД
Программирование на языке Java,Аннотация РПД,УКД,РПД
"Проект ""Бизнес-план IT-продукта""",Аннотация РПД,УКД,РПД
Проектирование пользовательских интерфейсов,Аннотация РПД,УКД,РПД
Психология профессионального саморазвития,Аннотация РПД,УКД,РПД
Разработка мобильных приложений,Аннотация РПД,УКД,РПД
"Распознавание образов, классификация и машинное обучение",Аннотация РПД,УКД,РПД
Специальные разделы математики,Аннотация РПД,УКД,РПД
Структуры и алгоритмы обработки данных,Аннотация РПД,УКД,РПД
Творческий проект,Аннотация РПД,УКД,РПД
Теория алгоритмов в системах искусственного интеллекта,Аннотация РПД,УКД,РПД
Теория принятия решений,Аннотация РПД,УКД,РПД
Теория языков программирования и вычислительных процессов,Аннотация РПД,УКД,РПД
Технологии разработки клиентской части веб-приложений,Аннотация РПД,УКД,РПД
Технологии разработки серверной части веб-приложений,Аннотация РПД,УКД,РПД
Физическая культура и спорт,Аннотация РПД,УКД,РПД
Философия,Аннотация РПД,УКД,РПД
Цветографические аспекты дизайна пользовательских интерфейсов,Аннотация РПД,УКД,РПД
Численные методы,Аннотация РПД,УКД,РПД
Экономика инженерии и основы предпринимательства,Аннотация РПД,УКД,РПД
Экономико-правовое обеспечение инженерной деятельности,Аннотация РПД,УКД,РПД
Эмоциональный интеллект и критическое мышление инженера,Аннотация РПД,УКД,РПД
Академический курс иностранного языка,Аннотация РПД,УКД,РПД
Аналитическая геометрия и линейная алгебра,Аннотация РПД,УКД,РПД
Аналоговая схемотехника. Цифровая схемотехника,Аннотация РПД,УКД,РПД
Антенные системы. Радиоэлектронные системы.,Аннотация РПД,УКД,РПД
Астрофизика. Биофизика,Аннотация РПД,УКД,РПД
Астрофизика. Экология. Биофизика,Аннотация РПД,УКД,РПД
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД
Введение в проектную деятельность,Аннотация РПД,УКД,РПД
Введение в физику наноструктур и методы их исследования,Аннотация РПД,УКД,РПД
Волоконно оптическая связь. Плазменная электроника,Аннотация РПД,УКД,РПД
Государственный экзамен,Аннотация РПД,УКД,РПД
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД
Иностранный язык,Аннотация РПД,УКД,РПД
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД
Интегральные уравнения и вариационное исчисление. Теория вероятности и математическая статистика,Аннотация РПД,УКД,РПД
"Информатика. Архитектура ПК, локальные вычислительные сети. Микропроцессорные системы",Аннотация РПД,УКД,РПД
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД
Квантовая механика,Аннотация РПД,УКД,РПД
Колебания и волны. Атомная и ядерная физика.,Аннотация РПД,УКД,РПД
