Наименование дисциплины,Аннотация РПД,Учебная карта дисциплины,Рабочая программа дисциплины,ed_id
Технология объектно-ориентированного программирования,Аннотация РПД,УКД,РПД,09.03.03
Управление данными,Аннотация РПД,УКД,РПД,09.03.03
Физика,Аннотация РПД,УКД,РПД,09.03.03
Физическая культура и спорт,Аннотация РПД,УКД,РПД,09.03.03
Философия,Аннотация РПД,УКД,РПД,09.03.03
Экономика и право,Аннотация РПД,УКД,РПД,09.03.03
Databases and DBMS (Базы данных и СУБД),Аннотация РПД,УКД,РПД,09.03.04
Discrete Mathematics (Дискретная математика),Аннотация РПД,УКД,РПД,09.03.04
Mathematics (Математика),Аннотация РПД,УКД,РПД,09.03.04
Администрирование и безопасность компьютерных сетей,Аннотация РПД,УКД,РПД,09.03.04
Администрирование операционных систем,Аннотация РПД,УКД,РПД,09.03.04
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,09.03.04
"Архитектура, технологии и инструментальные средства разработки программного обеспечения",Аннотация РПД,УКД,РПД,09.03.04
Базы данных и СУБД,Аннотация РПД,УКД,РПД,09.03.04
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,09.03.04
Введение в инженерную деятельность,Аннотация РПД,УКД,РПД,09.03.04
"Верификация, качество и автоматизированное тестирование программного обеспечения",Аннотация РПД,УКД,РПД,09.03.04
Дискретная математика,Аннотация РПД,УКД,РПД,09.03.04
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,09.03.04
Инженерия программного обеспечения для систем реального времени и Интернета вещей,Аннотация РПД,УКД,РПД,09.03.04
Иностранный язык,Аннотация РПД,УКД,РПД,09.03.04
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,09.03.04
Интеллектуальные интернет-технологии,Аннотация РПД,УКД,РПД,09.03.04
Искусственный интеллект и анализ данных,Аннотация РПД,УКД,РПД,09.03.04
История,Аннотация РПД,УКД,РПД,09.03.04
Концепции современного естествознания,Аннотация РПД,УКД,РПД,09.03.04
Маркетинг,Аннотация РПД,УКД,РПД,09.03.04
Математика,Аннотация РПД,УКД,РПД,09.03.04
Машинно-ориентированное программирование,Аннотация РПД,УКД,РПД,09.03.04
Методы оптимизации,Аннотация РПД,УКД,РПД,09.03.04
Модели и методы инженерии знаний,Аннотация РПД,УКД,РПД,09.03.04
Мультисервисные сети,Аннотация РПД,УКД,РПД,09.03.04
Объектно-ориентированное программирование,Аннотация РПД,УКД,РПД,09.03.04
Операционные системы и системное программное обеспечение,Аннотация РПД,УКД,РПД,09.03.04
Основы построения интеллектуальных геоинформационных систем,Аннотация РПД,УКД,РПД,09.03.04
Основы проектной деятельности,Аннотация РПД,УКД,РПД,09.03.04
Практикум по математике,Аннотация РПД,УКД,РПД,09.03.04
Практикум по подготовке инженерной документации,Аннотация РПД,УКД,РПД,09.03.04
Практикум по программированию,Аннотация РПД,УКД,РПД,09.03.04
Программирование и основы теории алгоритмов,Аннотация РПД,УКД,РПД,09.03.04
Программирование компьютерной графики,Аннотация РПД,УКД,РПД,09.03.04
Программирование на языке Java,Аннотация РПД,УКД,РПД,09.03.04
Программирование на языке Python,Аннотация РПД,УКД,РПД,09.03.04
"Проект ""Бизнес-план IT-продукта""",Аннотация РПД,УКД,РПД,09.03.04
Проектирование пользовательских интерфейсов,Аннотация РПД,УКД,РПД,09.03.04
Психология профессионального саморазвития,Аннотация РПД,УКД,РПД,09.03.04
Разработка мобильных приложений,Аннотация РПД,УКД,РПД,09.03.04
Разработка решений с использованием блокчейн технологий,Аннотация РПД,УКД,РПД,09.03.04
"Распознавание образов, классификация и машинное обучение",Аннотация РПД,УКД,РПД,09.03.04
Специалист по тестированию игрового программного обеспечения,Аннотация РПД,УКД,РПД,09.03.04
Структуры и алгоритмы обработки данных,Аннотация РПД,УКД,РПД,09.03.04
Творческий проект,Аннотация РПД,УКД,РПД,09.03.04
Теория алгоритмов в системах искусственного интеллекта,Аннотация РПД,УКД,РПД,09.03.04
Теория принятия решений,Аннотация РПД,УКД,РПД,09.03.04
Технологии разработки клиентской части веб-приложений,Аннотация РПД,УКД,РПД,09.03.04
Технологии разработки серверной части веб-приложений,Аннотация РПД,УКД,РПД,09.03.04
Управление проектами разработки программного обеспечения,Аннотация РПД,УКД,РПД,09.03.04
Физическая культура и спорт,Аннотация РПД,УКД,РПД,09.03.04
Философия,Аннотация РПД,УКД,РПД,09.03.04
Цветографические аспекты дизайна пользовательских интерфейсов,Аннотация РПД,УКД,РПД,09.03.04
Экономика инженерии и основы предпринимательства,Аннотация РПД,УКД,РПД,09.03.04
Экономико-правовое обеспечение инженерной деятельности,Аннотация РПД,УКД,РПД,09.03.04
Эмоциональный интеллект и критическое мышление инженера,Аннотация РПД,УКД,РПД,09.03.04
Algorithmization and Programming (Алгоритмизация и программирование),Аннотация РПД,УКД,РПД,10.03.01
CALS- и CASE- технологии поддержки жизненного цикла информационных систем,Аннотация РПД,УКД,РПД,10.03.01
Cryptography (Криптографические методы защиты информации),Аннотация РПД,УКД,РПД,10.03.01
Databases and DBMS (Базы данных и СУБД),Аннотация РПД,УКД,РПД,10.03.01
Discrete Mathematics (Дискретная математика),Аннотация РПД,УКД,РПД,10.03.01
Mathematics (Математика),Аннотация РПД,УКД,РПД,10.03.01
Operating systems (Операционные системы),Аннотация РПД,УКД,РПД,10.03.01
Администрирование и безопасность компьютерных сетей,Аннотация РПД,УКД,РПД,10.03.01
Администрирование операционных систем,Аннотация РПД,УКД,РПД,10.03.01
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,10.03.01
Алгоритмизация и программирование,Аннотация РПД,УКД,РПД,10.03.01
Аналоговая и цифровая схемотехника,Аннотация РПД,УКД,РПД,10.03.01
Базы данных и СУБД,Аннотация РПД,УКД,РПД,10.03.01
Безопасность банковских информационных систем,Аннотация РПД,УКД,РПД,10.03.01
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,10.03.01
Введение в инженерную деятельность,Аннотация РПД,УКД,РПД,10.03.01
Дискретная математика,Аннотация РПД,УКД,РПД,10.03.01
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,10.03.01
Иностранный язык,Аннотация РПД,УКД,РПД,10.03.01
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,10.03.01
Интеллектуальные интернет-технологии,Аннотация РПД,УКД,РПД,10.03.01
Информационно-аналитические системы и модели,Аннотация РПД,УКД,РПД,10.03.01
Информационно-аналитическое и правовое обеспечение финансового мониторинга,Аннотация РПД,УКД,РПД,10.03.01
История,Аннотация РПД,УКД,РПД,10.03.01
Квантовая криптография,Аннотация РПД,УКД,РПД,10.03.01
Квантовая обработка информации и квантовые вычисления,Аннотация РПД,УКД,РПД,10.03.01
Квантово-криптографические сети,Аннотация РПД,УКД,РПД,10.03.01
Криптографические методы защиты информации,Аннотация РПД,УКД,РПД,10.03.01
Маркетинг,Аннотация РПД,УКД,РПД,10.03.01
Математика,Аннотация РПД,УКД,РПД,10.03.01
Математические методы анализа больших данных,Аннотация РПД,УКД,РПД,10.03.01
Методы и средства проектирования информационных систем и технологий,Аннотация РПД,УКД,РПД,10.03.01
Методы интеллектуального анализа данных,Аннотация РПД,УКД,РПД,10.03.01
Методы оптимизации,Аннотация РПД,УКД,РПД,10.03.01
Модели и методы инженерии знаний,Аннотация РПД,УКД,РПД,10.03.01
Мультисервисные сети,Аннотация РПД,УКД,РПД,10.03.01
Объектно-ориентированное программирование,Аннотация РПД,УКД,РПД,10.03.01
Операционные системы,Аннотация РПД,УКД,РПД,10.03.01
Организационное и правовое обеспечение информационной безопасности,Аннотация РПД,УКД,РПД,10.03.01
Основы информационной безопасности,Аннотация РПД,УКД,РПД,10.03.01
Основы построения интеллектуальных геоинформационных систем,Аннотация РПД,УКД,РПД,10.03.01
Основы проектной деятельности,Аннотация РПД,УКД,РПД,10.03.01
Практикум по математике,Аннотация РПД,УКД,РПД,10.03.01
Практикум по основам программирования,Аннотация РПД,УКД,РПД,10.03.01
Практикум по подготовке инженерной документации,Аннотация РПД,УКД,РПД,10.03.01
Практикум по решению физических задач,Аннотация РПД,УКД,РПД,10.03.01
Применение квантовых технологий в профессиональной деятельности,Аннотация РПД,УКД,РПД,10.03.01
"Проект ""Бизнес-план IT-продукта""",Аннотация РПД,УКД,РПД,10.03.01
"Проект ""Применение перспективных ИТ в проектировании и оптимизации ИС""",Аннотация РПД,УКД,РПД,10.03.01
Проектирование информационно-аналитических систем,Аннотация РПД,УКД,РПД,10.03.01
Психология профессионального саморазвития,Аннотация РПД,УКД,РПД,10.03.01
"Распознавание образов, классификация и машинное обучение",Аннотация РПД,УКД,РПД,10.03.01
Творческий проект,Аннотация РПД,УКД,РПД,10.03.01
Теория алгоритмов в системах искусственного интеллекта,Аннотация РПД,УКД,РПД,10.03.01
Теория принятия решений,Аннотация РПД,УКД,РПД,10.03.01
Техническая защита информации,Аннотация РПД,УКД,РПД,10.03.01
Технологии разработки квантовых алгоритмов,Аннотация РПД,УКД,РПД,10.03.01
Физика,Аннотация РПД,УКД,РПД,10.03.01
Физическая культура и спорт,Аннотация РПД,УКД,РПД,10.03.01
Философия,Аннотация РПД,УКД,РПД,10.03.01
Эволюционное моделирование,Аннотация РПД,УКД,РПД,10.03.01
Экономика инженерии и основы предпринимательства,Аннотация РПД,УКД,РПД,10.03.01
Экономико-правовое обеспечение инженерной деятельности,Аннотация РПД,УКД,РПД,10.03.01
Эмоциональный интеллект и критическое мышление инженера,Аннотация РПД,УКД,РПД,10.03.01
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,11.03.01
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,11.03.01
Введение в инженерную деятельность,Аннотация РПД,УКД,РПД,11.03.01
Высшая математика,Аннотация РПД,УКД,РПД,11.03.01
Датчики физических величин,Аннотация РПД,УКД,РПД,11.03.01
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,11.03.01
Инженерная и компьютерная графика,Аннотация РПД,УКД,РПД,11.03.01
Иностранный язык,Аннотация РПД,УКД,РПД,11.03.01
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,11.03.01
Информатика,Аннотация РПД,УКД,РПД,11.03.01
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,11.03.01
Материалы и компоненты электронной техники,Аннотация РПД,УКД,РПД,11.03.01
Методы и устройства цифровой обработки сигналов,Аннотация РПД,УКД,РПД,11.03.01
"Метрология, стандартизация и сертификация",Аннотация РПД,УКД,РПД,11.03.01
Основы администрирования сетей передачи данных,Аннотация РПД,УКД,РПД,11.03.01
Основы генерирования и формирования сигналов,Аннотация РПД,УКД,РПД,11.03.01
Основы компьютерного проектирования и моделирования радиоэлектронных средств,Аннотация РПД,УКД,РПД,11.03.01
Основы конструирования и технологии проектирования радиоэлектронных средств,Аннотация РПД,УКД,РПД,11.03.01
Основы программирования,Аннотация РПД,УКД,РПД,11.03.01
"Основы радиоэлектронной борьбы, защиты и кодирования информации",Аннотация РПД,УКД,РПД,11.03.01
Основы теории цепей,Аннотация РПД,УКД,РПД,11.03.01
Основы технического обслуживания и настройки радиотехнических устройств и систем,Аннотация РПД,УКД,РПД,11.03.01
Прикладные математические методы в радиотехнике и связи,Аннотация РПД,УКД,РПД,11.03.01
Программирование сигнальных процессоров,Аннотация РПД,УКД,РПД,11.03.01
Проект 1,Аннотация РПД,УКД,РПД,11.03.01
Проект 2,Аннотация РПД,УКД,РПД,11.03.01
Проект 3,Аннотация РПД,УКД,РПД,11.03.01
Производственная практика (научно-исследовательская работа),Аннотация РПД,УКД,РПД,11.03.01
Радиоприемные устройства и телевидение,Аннотация РПД,УКД,РПД,11.03.01
Радиотехнические системы,Аннотация РПД,УКД,РПД,11.03.01
Схемотехника,Аннотация РПД,УКД,РПД,11.03.01
Теоретические основы радиотехники,Аннотация РПД,УКД,РПД,11.03.01
Теория колебаний,Аннотация РПД,УКД,РПД,11.03.01
Устройства СВЧ и антенны,Аннотация РПД,УКД,РПД,11.03.01
Физика,Аннотация РПД,УКД,РПД,11.03.01
Физическая культура и спорт,Аннотация РПД,УКД,РПД,11.03.01
Философия,Аннотация РПД,УКД,РПД,11.03.01
Экономика и право,Аннотация РПД,УКД,РПД,11.03.01
Электродинамика и распространение радиоволн,Аннотация РПД,УКД,РПД,11.03.01
Электромагнитная совместимость радиоэлектронных средств,Аннотация РПД,УКД,РПД,11.03.01
Электропреобразовательные устройства радиосистем,Аннотация РПД,УКД,РПД,11.03.01
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,11.03.02
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,11.03.02
Введение в инженерную деятельность,Аннотация РПД,УКД,РПД,11.03.02
Высшая математика,Аннотация РПД,УКД,РПД,11.03.02
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,11.03.02
Инженерная и компьютерная графика,Аннотация РПД,УКД,РПД,11.03.02
Иностранный язык,Аннотация РПД,УКД,РПД,11.03.02
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,11.03.02
Информатика,Аннотация РПД,УКД,РПД,11.03.02
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,11.03.02
Компьютерные методы синтеза и обработки сигналов,Аннотация РПД,УКД,РПД,11.03.02
Материалы и компоненты электронной техники,Аннотация РПД,УКД,РПД,11.03.02
Методы и устройства цифровой обработки сигналов,Аннотация РПД,УКД,РПД,11.03.02
Методы проектирования встраиваемых систем,Аннотация РПД,УКД,РПД,11.03.02
"Метрология, стандартизация и сертификация",Аннотация РПД,УКД,РПД,11.03.02
Микропроцессорные контроллеры,Аннотация РПД,УКД,РПД,11.03.02
Основы администрирования сетей передачи данных,Аннотация РПД,УКД,РПД,11.03.02
Основы компьютерного проектирования и моделирования радиоэлектронных средств,Аннотация РПД,УКД,РПД,11.03.02
Основы конструирования и технологии проектирования радиоэлектронных средств,Аннотация РПД,УКД,РПД,11.03.02
Основы построения инфокоммуникационных систем и сетей,Аннотация РПД,УКД,РПД,11.03.02
Основы программирования,Аннотация РПД,УКД,РПД,11.03.02
Основы теории цепей,Аннотация РПД,УКД,РПД,11.03.02
Прикладные математические методы в радиотехнике и связи,Аннотация РПД,УКД,РПД,11.03.02
Проект 1,Аннотация РПД,УКД,РПД,11.03.02
Проект 2,Аннотация РПД,УКД,РПД,11.03.02
Проект 3,Аннотация РПД,УКД,РПД,11.03.02
Сигнализация в сетях электросвязи,Аннотация РПД,УКД,РПД,11.03.02
Схемотехника,Аннотация РПД,УКД,РПД,11.03.02
Теоретические основы радиотехники,Аннотация РПД,УКД,РПД,11.03.02
Теория информации и кодирования,Аннотация РПД,УКД,РПД,11.03.02
Устройства генерирования и формирования сигналов,Аннотация РПД,УКД,РПД,11.03.02
Устройства приема и обработки сигналов,Аннотация РПД,УКД,РПД,11.03.02
Устройства СВЧ и антенны,Аннотация РПД,УКД,РПД,11.03.02
Физика,Аннотация РПД,УКД,РПД,11.03.02
Физическая культура и спорт,Аннотация РПД,УКД,РПД,11.03.02
Философия,Аннотация РПД,УКД,РПД,11.03.02
Экономика и право,Аннотация РПД,УКД,РПД,11.03.02
Электродинамика и распространение радиоволн,Аннотация РПД,УКД,РПД,11.03.02
Электромагнитная совместимость радиоэлектронных средств,Аннотация РПД,УКД,РПД,11.03.02
Электропитание устройств и систем телекоммуникаций,Аннотация РПД,УКД,РПД,11.03.02
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,11.03.03
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,11.03.03
Беспроводные сети и сетевые технологии,Аннотация РПД,УКД,РПД,11.03.03
Введение в инженерную деятельность,Аннотация РПД,УКД,РПД,11.03.03
Высшая математика,Аннотация РПД,УКД,РПД,11.03.03
Датчики физических величин,Аннотация РПД,УКД,РПД,11.03.03
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,11.03.03
Инженерная и компьютерная графика,Аннотация РПД,УКД,РПД,11.03.03
Иностранный язык,Аннотация РПД,УКД,РПД,11.03.03
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,11.03.03
Информатика,Аннотация РПД,УКД,РПД,11.03.03
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,11.03.03
Математическое моделирование,Аннотация РПД,УКД,РПД,11.03.03
Материалы и компоненты электронной техники,Аннотация РПД,УКД,РПД,11.03.03
Методы и устройства цифровой обработки сигналов,Аннотация РПД,УКД,РПД,11.03.03
"Метрология, стандартизация и сертификация",Аннотация РПД,УКД,РПД,11.03.03
Основы администрирования сетей передачи данных,Аннотация РПД,УКД,РПД,11.03.03
Основы анализа данных и машинного обучения,Аннотация РПД,УКД,РПД,11.03.03
Основы беспилотных транспортных технологий,Аннотация РПД,УКД,РПД,11.03.03
Основы компьютерного проектирования и моделирования радиоэлектронных средств,Аннотация РПД,УКД,РПД,11.03.03
Основы конструирования и технологии проектирования радиоэлектронных средств,Аннотация РПД,УКД,РПД,11.03.03
Основы программирования,Аннотация РПД,УКД,РПД,11.03.03
Основы программирования киберфизических систем,Аннотация РПД,УКД,РПД,11.03.03
Основы теории цепей,Аннотация РПД,УКД,РПД,11.03.03
Прикладные математические методы в радиотехнике и связи,Аннотация РПД,УКД,РПД,11.03.03
Программно-аппаратные платформы IoT,Аннотация РПД,УКД,РПД,11.03.03
Проект 1,Аннотация РПД,УКД,РПД,11.03.03
Проект 2,Аннотация РПД,УКД,РПД,11.03.03
Проект 3,Аннотация РПД,УКД,РПД,11.03.03
Производственная практика (научно-исследовательская работа),Аннотация РПД,УКД,РПД,11.03.03
Схемотехника,Аннотация РПД,УКД,РПД,11.03.03
Теоретические основы радиотехники,Аннотация РПД,УКД,РПД,11.03.03
Устройства генерирования и формирования сигналов,Аннотация РПД,УКД,РПД,11.03.03
Устройства СВЧ и антенны,Аннотация РПД,УКД,РПД,11.03.03
Физика,Аннотация РПД,УКД,РПД,11.03.03
Физическая культура и спорт,Аннотация РПД,УКД,РПД,11.03.03
Философия,Аннотация РПД,УКД,РПД,11.03.03
Экономика и право,Аннотация РПД,УКД,РПД,11.03.03
Электродинамика и распространение радиоволн,Аннотация РПД,УКД,РПД,11.03.03
Электромагнитная совместимость радиоэлектронных средств,Аннотация РПД,УКД,РПД,11.03.03
Электропреобразовательные устройства радиосистем,Аннотация РПД,УКД,РПД,11.03.03
Kinetic effects of electrons in semiconductors and nanostructures (Кинетические эффекты электронов в полупроводниках и наноструктурах),Аннотация РПД,УКД,РПД,11.03.04
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,11.03.04
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,11.03.04
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,11.03.04
Высшая математика,Аннотация РПД,УКД,РПД,11.03.04
Импульсные и цифровые устройства,Аннотация РПД,УКД,РПД,11.03.04
Инженерная и компьютерная графика,Аннотация РПД,УКД,РПД,11.03.04
Иностранный язык,Аннотация РПД,УКД,РПД,11.03.04
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,11.03.04
Информатика,Аннотация РПД,УКД,РПД,11.03.04
Информационные технологии,Аннотация РПД,УКД,РПД,11.03.04
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,11.03.04
Квантовая и оптическая электроника,Аннотация РПД,УКД,РПД,11.03.04
Квантовая механика и статистическая физика,Аннотация РПД,УКД,РПД,11.03.04
Квантовые и оптические приборы,Аннотация РПД,УКД,РПД,11.03.04
Компоненты электронной техники,Аннотация РПД,УКД,РПД,11.03.04
Материалы электронной техники,Аннотация РПД,УКД,РПД,11.03.04
Междисциплинарный проект 1,Аннотация РПД,УКД,РПД,11.03.04
Междисциплинарный проект 2,Аннотация РПД,УКД,РПД,11.03.04
Междисциплинарный проект 3,Аннотация РПД,УКД,РПД,11.03.04
Методы анализа и контроля наноструктурированных материалов и систем,Аннотация РПД,УКД,РПД,11.03.04
"Метрология, стандартизация и средства измерений",Аннотация РПД,УКД,РПД,11.03.04
Микро- и наноэлектроника,Аннотация РПД,УКД,РПД,11.03.04
Микроволновая схемотехника,Аннотация РПД,УКД,РПД,11.03.04
Микроволновая техника,Аннотация РПД,УКД,РПД,11.03.04
Микропроцессорные устройства,Аннотация РПД,УКД,РПД,11.03.04
Оптические и измерительные системы,Аннотация РПД,УКД,РПД,11.03.04
Основы конструирования и технологии производства электронных средств,Аннотация РПД,УКД,РПД,11.03.04
Основы нанооптики,Аннотация РПД,УКД,РПД,11.03.04
Приборы и устройства СВЧ,Аннотация РПД,УКД,РПД,11.03.04
Применение электронных приборов и устройств,Аннотация РПД,УКД,РПД,11.03.04
Процессы микро- и нанотехнологии,Аннотация РПД,УКД,РПД,11.03.04
Схемотехника,Аннотация РПД,УКД,РПД,11.03.04
Теоретические основы электротехники,Аннотация РПД,УКД,РПД,11.03.04
Теоретические основы радиоэлектроники,Аннотация РПД,УКД,РПД,11.03.04
Техническая электродинамика,Аннотация РПД,УКД,РПД,11.03.04
Физика,Аннотация РПД,УКД,РПД,11.03.04
Физика волновых процессов,Аннотация РПД,УКД,РПД,11.03.04
Физическая культура и спорт,Аннотация РПД,УКД,РПД,11.03.04
Физические основы технической электроники и наноэлектроники,Аннотация РПД,УКД,РПД,11.03.04
Философия,Аннотация РПД,УКД,РПД,11.03.04
Химия,Аннотация РПД,УКД,РПД,11.03.04
Экология,Аннотация РПД,УКД,РПД,11.03.04
Экономика и право,Аннотация РПД,УКД,РПД,11.03.04
Элективные дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,11.03.04
Электронные приборы для приема и воспроизведения изображений,Аннотация РПД,УКД,РПД,11.03.04
Nonlinear acoustic system (Нелинейные акустические системы),Аннотация РПД,УКД,РПД,12.03.01
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,12.03.01
Акустические методы и приборы в медицине,Аннотация РПД,УКД,РПД,12.03.01
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,12.03.01
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,12.03.01
Высшая математика,Аннотация РПД,УКД,РПД,12.03.01
"Гидроакустические, акустические и ультразвуковые измерения",Аннотация РПД,УКД,РПД,12.03.01
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,12.03.01
Имитационное моделирование акустических систем,Аннотация РПД,УКД,РПД,12.03.01
Инженерная и компьютерная графика,Аннотация РПД,УКД,РПД,12.03.01
Иностранный язык,Аннотация РПД,УКД,РПД,12.03.01
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,12.03.01
Информатика,Аннотация РПД,УКД,РПД,12.03.01
Информационные технологии,Аннотация РПД,УКД,РПД,12.03.01
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,12.03.01
Компьютерные технологии в приборостроении,Аннотация РПД,УКД,РПД,12.03.01
Конструирование и технология производства приборов и систем,Аннотация РПД,УКД,РПД,12.03.01
Материалы техники и приборостроения,Аннотация РПД,УКД,РПД,12.03.01
Междисциплинарный проект 1,Аннотация РПД,УКД,РПД,12.03.01
Междисциплинарный проект 2,Аннотация РПД,УКД,РПД,12.03.01
Междисциплинарный проект 3,Аннотация РПД,УКД,РПД,12.03.01
Методы и технологии неразрушающего контроля,Аннотация РПД,УКД,РПД,12.03.01
"Метрология, стандартизация и средства измерений",Аннотация РПД,УКД,РПД,12.03.01
Микропроцессоры и программируемые логические схемы,Аннотация РПД,УКД,РПД,12.03.01
Организация научных исследований,Аннотация РПД,УКД,РПД,12.03.01
Основы автоматического управления,Аннотация РПД,УКД,РПД,12.03.01
Основы проектирования приборов и систем,Аннотация РПД,УКД,РПД,12.03.01
"Средства получения, преобразования и передачи информации",Аннотация РПД,УКД,РПД,12.03.01
Схемотехника и системотехническое проектирование,Аннотация РПД,УКД,РПД,12.03.01
Теоретические основы электротехники,Аннотация РПД,УКД,РПД,12.03.01
"Теория излучения, рассеяния и приема волн",Аннотация РПД,УКД,РПД,12.03.01
Ультразвуковая техника и технологии,Аннотация РПД,УКД,РПД,12.03.01
Физика,Аннотация РПД,УКД,РПД,12.03.01
Физическая культура и спорт,Аннотация РПД,УКД,РПД,12.03.01
Физические основы получения информации,Аннотация РПД,УКД,РПД,12.03.01
Физические поля,Аннотация РПД,УКД,РПД,12.03.01
Философия,Аннотация РПД,УКД,РПД,12.03.01
Формирование и обработка сигналов,Аннотация РПД,УКД,РПД,12.03.01
Химия,Аннотация РПД,УКД,РПД,12.03.01
Шумы и вибрации,Аннотация РПД,УКД,РПД,12.03.01
Экология,Аннотация РПД,УКД,РПД,12.03.01
Экономика и право,Аннотация РПД,УКД,РПД,12.03.01
Электроника,Аннотация РПД,УКД,РПД,12.03.01
Nonlinear acoustic system (Нелинейные акустические системы),Аннотация РПД,УКД,РПД,12.03.04
Академический курс иностранного языка,Аннотация РПД,УКД,РПД,12.03.04
Акустические методы и приборы в медицине,Аннотация РПД,УКД,РПД,12.03.04
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД,12.03.04
Безопасность и надежность медицинской техники,Аннотация РПД,УКД,РПД,12.03.04
Биотехнические системы медицинского назначения,Аннотация РПД,УКД,РПД,12.03.04
Биофизика,Аннотация РПД,УКД,РПД,12.03.04
Введение в проектную деятельность,Аннотация РПД,УКД,РПД,12.03.04
Высшая математика,Аннотация РПД,УКД,РПД,12.03.04
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД,12.03.04
Инженерная и компьютерная графика,Аннотация РПД,УКД,РПД,12.03.04
Иностранный язык,Аннотация РПД,УКД,РПД,12.03.04
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД,12.03.04
Информатика,Аннотация РПД,УКД,РПД,12.03.04
Информационные технологии,Аннотация РПД,УКД,РПД,12.03.04
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД,12.03.04
Клинико-лабораторная и экологическая электронная техника,Аннотация РПД,УКД,РПД,12.03.04
Компьютерные технологии в медико-биологических исследованиях,Аннотация РПД,УКД,РПД,12.03.04
Конструирование и технология производства приборов и систем,Аннотация РПД,УКД,РПД,12.03.04
Материалы техники и приборостроения,Аннотация РПД,УКД,РПД,12.03.04
"Медицинские приборы, аппараты, системы и комплексы",Аннотация РПД,УКД,РПД,12.03.04
Междисциплинарный проект 1,Аннотация РПД,УКД,РПД,12.03.04
Междисциплинарный проект 2,Аннотация РПД,УКД,РПД,12.03.04
Междисциплинарный проект 3,Аннотация РПД,УКД,РПД,12.03.04
"Метрология, стандартизация и средства измерений",Аннотация РПД,УКД,РПД,12.03.04
Микропроцессоры и программируемые логические схемы,Аннотация РПД,УКД,РПД,12.03.04
Моделирование биологических процессов и систем,Аннотация РПД,УКД,РПД,12.03.04
Морфология и анатомия человека,Аннотация РПД,УКД,РПД,12.03.04
Основы проектирования приборов и систем,Аннотация РПД,УКД,РПД,12.03.04
Системный анализ и принятие решений,Аннотация РПД,УКД,РПД,12.03.04
Средства съема диагностической информации и подведения лечебного воздействия,Аннотация РПД,УКД,РПД,12.03.04
Схемотехника и системотехническое проектирование,Аннотация РПД,УКД,РПД,12.03.04
Теоретические основы электротехники,Аннотация РПД,УКД,РПД,12.03.04
Технические методы диагностических исследований и лечебных воздействий,Аннотация РПД,УКД,РПД,12.03.04
Техническое обслуживание медицинской техники,Аннотация РПД,УКД,РПД,12.03.04
Физика,Аннотация РПД,УКД,РПД,12.03.04
Физическая культура и спорт,Аннотация РПД,УКД,РПД,12.03.04
Физические поля,Аннотация РПД,УКД,РПД,12.03.04
Философия,Аннотация РПД,УКД,РПД,12.03.04
Формирование и обработка сигналов,Аннотация РПД,УКД,РПД,12.03.04
Химия,Аннотация РПД,УКД,РПД,12.03.04
Экология,Аннотация РПД,УКД,РПД,12.03.04
Экономика и право,Аннотация РПД,УКД,РПД,12.03.04
